mysql> select distinct lineid, processid, snap_date, loaded_at from facts_wip_source where snap_date='2026-06-09' order by lineid, processid, loaded_at;
+--------+------------------+------------+---------------------+
| lineid | processid        | snap_date  | loaded_at           |
| KFR4   | K44H             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K44H             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K44J             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K44J             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K44K             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K44K             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K44L             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K44L             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K4A1             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K4A1             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K4A2             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K4A2             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K4A6             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K4A6             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K4FC             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K4FC             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K4FE             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K4FE             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | K78J             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | K78J             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KKM4             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KKM4             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KLWZ             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KLWZ             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KNYR             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KNYR             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KNYS             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KNYS             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KOKA             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KOKA             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KOZA             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KOZA             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KYH2             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KYH2             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KZ32             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KZ32             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KZ4M             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KZ4M             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KZ4U             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KZ4U             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KZFR             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KZFR             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KZMW             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KZMW             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | KZMX             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | KZMX             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR4   | P18R             | 2026-06-09 | 2026-06-09 02:26:25 |
| KFR4   | P18R             | 2026-06-09 | 2026-06-09 09:52:27 |
| KFR7   | 416GIGA3L_D0AP2C | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | 416GIGA3L_D0AP2C | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | 416GIGA3L_D0AP2P | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | 416GIGA3L_D0AP2P | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | 7_2508_FE279     | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | 7_2508_FE279     | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | 7_2508_FE280     | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | 7_2508_FE280     | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | 7_2508_FE281     | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | 7_2508_FE281     | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | 7_2508_FE282     | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | 7_2508_FE282     | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | 7_2508_MC280     | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | 7_2508_MC280     | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | 7_2511_FE288     | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | 7_2511_FE288     | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K4A2             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K4A2             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K72A             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K72A             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K75F             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K75F             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K75U             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K75U             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K76L             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K76L             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K76R             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K76R             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K78E             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K78E             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K78F             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K78F             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K78K             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K78K             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K7A1             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K7A1             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K7B8             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K7B8             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | K7FE             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | K7FE             | 2026-06-09 | 2026-06-09 09:54:34 |
| KFR7   | PPCR             | 2026-06-09 | 2026-06-09 02:30:49 |
| KFR7   | PPCR             | 2026-06-09 | 2026-06-09 09:54:34 |
| PFR1   | K42S             | 2026-06-09 | 2026-06-09 02:32:18 |
| PFR1   | K42S             | 2026-06-09 | 2026-06-09 09:55:08 |
| PFR1   | K42V             | 2026-06-09 | 2026-06-09 02:32:18 |
| PFR1   | K42V             | 2026-06-09 | 2026-06-09 09:55:08 |
| PFR1   | K44H             | 2026-06-09 | 2026-06-09 02:32:18 |
| PFR1   | K44H             | 2026-06-09 | 2026-06-09 09:55:08 |
| PFR1   | K4B1             | 2026-06-09 | 2026-06-09 02:32:18 |
| PFR1   | K4B1             | 2026-06-09 | 2026-06-09 09:55:08 |
| PFR1   | K4B2             | 2026-06-09 | 2026-06-09 02:32:18 |
| PFR1   | K4B2             | 2026-06-09 | 2026-06-09 09:55:08 |
| PFR1   | K4B3             | 2026-06-09 | 2026-06-09 02:32:18 |
| PFR1   | K4B3             | 2026-06-09 | 2026-06-09 09:55:08 |
| PFR1   | K4B4             | 2026-06-09 | 2026-06-09 02:32:18 |
| PFR1   | K4B4             | 2026-06-09 | 2026-06-09 09:55:08 |
| PFR1   | P13X             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P13X             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P14B             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P14B             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P15R             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P15R             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P18L             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P18L             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P18R             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P18R             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P18T             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P18T             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P19Z             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P19Z             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SA             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SA             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SC             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SC             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SD             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SD             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SF             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SF             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SK             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SK             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SP             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SP             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SS             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SS             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SU             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SU             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | P1SV             | 2026-06-09 | 2026-06-09 02:17:02 |
| PFR1   | P1SV             | 2026-06-09 | 2026-06-09 09:46:46 |
| PFR1   | PBVV             | 2026-06-09 | 2026-06-09 02:32:18 |
| PFR1   | PBVV             | 2026-06-09 | 2026-06-09 09:55:08 |
+--------+------------------+------------+---------------------+
214 rows in set (1.87 sec)
